Date,Close
1/4/2010,7.64
1/5/2010,7.36
1/6/2010,7.62
1/7/2010,7.49
1/8/2010,7.61
1/11/2010,7.6
1/12/2010,7.48
1/13/2010,7.71
1/14/2010,7.28
1/15/2010,7.28
1/19/2010,7.31
1/20/2010,7.32
1/21/2010,7.31
1/22/2010,7.27
1/25/2010,7.02
1/26/2010,7.14
1/27/2010,7.28
1/28/2010,9.01
1/29/2010,8.89
2/1/2010,8.72
2/2/2010,8.84
2/3/2010,8.85
2/4/2010,8.62
2/5/2010,8.69
2/8/2010,8.7
2/9/2010,8.88
2/10/2010,8.78
2/11/2010,9.05
2/12/2010,9.03
2/16/2010,9.27
2/17/2010,9.22
2/18/2010,9.44
2/19/2010,9.52
2/22/2010,9.32
2/23/2010,9.19
2/24/2010,9.24
2/25/2010,9.37
2/26/2010,9.44
3/1/2010,9.96
3/2/2010,9.85
3/3/2010,9.65
3/4/2010,9.72
3/5/2010,9.66
3/8/2010,9.81
3/9/2010,9.99
3/10/2010,10.18
3/11/2010,10.17
3/12/2010,10
3/15/2010,9.94
3/16/2010,10.09
3/17/2010,10.13
3/18/2010,10.08
3/19/2010,10.06
3/22/2010,10.41
3/23/2010,10.42
3/24/2010,10.34
3/25/2010,10.51
3/26/2010,10.61
3/29/2010,10.56
3/30/2010,10.72
3/31/2010,10.53
4/1/2010,10.71
4/5/2010,11.43
4/6/2010,11.91
4/7/2010,11.39
4/8/2010,11.69
4/9/2010,11.77
4/12/2010,11.88
4/13/2010,12.34
4/14/2010,12.51
4/15/2010,12.4
4/16/2010,12.19
4/19/2010,12.11
4/20/2010,12.44
4/21/2010,12.43
4/22/2010,14.32
4/23/2010,14.25
4/26/2010,15.45
4/27/2010,14.58
4/28/2010,14.2
4/29/2010,14.74
4/30/2010,14.13
5/3/2010,14.57
5/4/2010,14.19
5/5/2010,14.03
5/6/2010,13.85
5/7/2010,13.01
5/10/2010,13.93
5/11/2010,14.26
5/12/2010,15.4
5/13/2010,15.72
5/14/2010,14.37
5/17/2010,15.19
5/18/2010,14.57
5/19/2010,14.37
5/20/2010,13.57
5/21/2010,14.21
5/24/2010,14.52
5/25/2010,15
5/26/2010,14.97
5/27/2010,15.55
5/28/2010,15.88
6/1/2010,15.33
6/2/2010,15.83
6/3/2010,15.98
6/4/2010,15.68
6/7/2010,15.59
6/8/2010,15.76
6/9/2010,16.49
6/10/2010,16.95
6/11/2010,17.24
6/14/2010,18.12
6/15/2010,17.64
6/16/2010,17.81
6/17/2010,17.98
6/18/2010,18.06
6/21/2010,17
6/22/2010,16.63
6/23/2010,16.82
6/24/2010,16.46
6/25/2010,16.85
6/28/2010,16.8
6/29/2010,16.08
6/30/2010,15.52
7/1/2010,15.67
7/2/2010,15.3
7/6/2010,15.32
7/7/2010,16.93
7/8/2010,16.71
7/9/2010,16.79
7/12/2010,17.05
7/13/2010,17.27
7/14/2010,17.57
7/15/2010,17.3
