Date,Close
1/4/2010,18.49
1/5/2010,18.76
1/6/2010,18.88
1/7/2010,18.51
1/8/2010,18.55
1/11/2010,18.29
1/12/2010,17.67
1/13/2010,17.91
1/14/2010,17.63
1/15/2010,17.11
1/19/2010,17.43
1/20/2010,17.36
1/21/2010,17.05
1/22/2010,16.46
1/25/2010,16.74
1/26/2010,16.21
1/27/2010,16.65
1/28/2010,16.09
1/29/2010,15.39
2/1/2010,16.57
2/2/2010,16.74
2/3/2010,16.88
2/4/2010,15.9
2/5/2010,16.22
2/8/2010,16.19
2/9/2010,16.06
2/10/2010,16.37
2/11/2010,17.12
2/12/2010,17.35
2/16/2010,17.67
2/17/2010,17.84
2/18/2010,16.67
2/19/2010,16.58
2/22/2010,16.61
2/23/2010,16.21
2/24/2010,16.55
2/25/2010,16.4
2/26/2010,16.2
3/1/2010,16.85
3/2/2010,16.84
3/3/2010,16.63
3/4/2010,16.66
3/5/2010,17.17
3/8/2010,16.92
3/9/2010,17.55
3/10/2010,17.59
3/11/2010,17.19
3/12/2010,17.25
3/15/2010,17.16
3/16/2010,17.76
3/17/2010,18.1
3/18/2010,17.46
3/19/2010,17.25
3/22/2010,17.53
3/23/2010,17.89
3/24/2010,17.29
3/25/2010,17.34
3/26/2010,17.34
3/29/2010,17.56
3/30/2010,17.63
3/31/2010,17.4
4/1/2010,17.22
4/5/2010,17.48
4/6/2010,17.05
4/7/2010,17.16
4/8/2010,16.88
4/9/2010,16.99
4/12/2010,17.3
4/13/2010,17.66
4/14/2010,17.88
4/15/2010,18.01
4/16/2010,17.06
4/19/2010,16.98
4/20/2010,17.04
4/21/2010,16.6
4/22/2010,16.67
4/23/2010,16.44
4/26/2010,16.6
4/27/2010,16.13
4/28/2010,16.16
4/29/2010,16.65
4/30/2010,15.71
5/3/2010,15.54
5/4/2010,14.75
5/5/2010,14.5
5/6/2010,14.2
5/7/2010,13.96
5/10/2010,14.56
5/11/2010,14.4
5/12/2010,14.68
5/13/2010,14.65
5/14/2010,12.96
5/17/2010,12.99
5/18/2010,12.56
5/19/2010,12.76
5/20/2010,12.46
5/21/2010,12.73
5/24/2010,12.36
5/25/2010,12.69
5/26/2010,12.75
5/27/2010,13.5
