Date,Close
1/4/2010,18.93
1/5/2010,18.66
1/6/2010,18.6
1/7/2010,18.53
1/8/2010,18.68
1/11/2010,18.83
1/12/2010,18.77
1/13/2010,19.21
1/14/2010,19.38
1/15/2010,19.49
1/19/2010,20
1/20/2010,19.94
1/21/2010,19.24
1/22/2010,18.96
1/25/2010,18.85
1/26/2010,18.78
1/27/2010,19
1/28/2010,18.63
1/29/2010,18.66
2/1/2010,18.79
2/2/2010,19.24
2/3/2010,18.62
2/4/2010,18.03
2/5/2010,17.96
2/8/2010,17.84
2/9/2010,17.88
2/10/2010,17.74
2/11/2010,17.87
2/12/2010,17.8
2/16/2010,17.72
2/17/2010,17.67
2/18/2010,17.73
2/19/2010,17.99
2/22/2010,17.95
2/23/2010,17.67
2/24/2010,17.81
2/25/2010,17.69
2/26/2010,17.55
3/1/2010,17.75
3/2/2010,17.6
3/3/2010,17.32
3/4/2010,17.33
3/5/2010,17.48
3/8/2010,17.35
3/9/2010,17.23
3/10/2010,17.15
3/11/2010,17.29
3/12/2010,17.08
3/15/2010,17.26
3/16/2010,17.26
3/17/2010,17.21
3/18/2010,17.23
3/19/2010,16.91
3/22/2010,17.15
3/23/2010,17.54
3/24/2010,17.61
3/25/2010,17.39
3/26/2010,17.14
3/29/2010,17.28
3/30/2010,17.26
3/31/2010,17.15
4/1/2010,17.08
4/5/2010,16.9
4/6/2010,16.96
4/7/2010,17.07
4/8/2010,17.14
4/9/2010,17.25
4/12/2010,17.29
4/13/2010,17.18
4/14/2010,17.07
4/15/2010,16.99
4/16/2010,16.8
4/19/2010,16.79
4/20/2010,16.76
4/21/2010,16.6
4/22/2010,16.48
4/23/2010,16.91
4/26/2010,16.82
4/27/2010,16.46
4/28/2010,16.53
4/29/2010,16.86
4/30/2010,16.72
5/3/2010,16.91
5/4/2010,17.26
5/5/2010,17.18
5/6/2010,16.74
5/7/2010,16.46
5/10/2010,17
5/11/2010,17.01
5/12/2010,16.9
5/13/2010,16.56
5/14/2010,16.2
5/17/2010,16.11
5/18/2010,15.81
5/19/2010,15.82
5/20/2010,15.23
